channelName,channelUrl,date,dislikes,duration,id,likes,numberOfSubscribers,title,url,viewCount
Cardi B,https://www.youtube.com/channel/UCxMAbVFmxKUVGAll0WVGpFw,2020-08-07T00:00:00+00:00,1100000,4:12,hsm4poTWjMs,7000000,15900000,Cardi B - WAP feat. Megan Thee Stallion [Official Music Video],https://www.youtube.com/watch?v=hsm4poTWjMs,329889648
Lil Nas X,https://www.youtube.com/channel/UC_uMv3bNXwapHl8Dzf2p01Q,2019-09-05T00:00:00+00:00,230000,0:15,bXcSLI58-h8,6100000,11400000,Lil Nas X - Panini (Official Video),https://www.youtube.com/watch?v=bXcSLI58-h8,359981525
Relax Cafe Music,https://www.youtube.com/channel/UCaCE5pzy49M8nQ59plgmFOA,2021-01-21T00:00:00+00:00,5,0:35,dkXmlNUkbyQ,141,567000,Sweet Jazz Bossa Music - Positive Morning Jazz Cafe and Bossa Nova Music,https://www.youtube.com/watch?v=dkXmlNUkbyQ,5691
Gloriae Templum,https://www.youtube.com/channel/UCbAvVTaq1AJAVBQ3u-y6l_g,2021-01-21T00:00:00+00:00,1,1:00:40,aw2J-77cSWk,180,54200,RAID - 1 HOUR OF EPIC INTENSE DRAMATIC ACTION MUSIC,https://www.youtube.com/watch?v=aw2J-77cSWk,2562
Jaiden Animations,https://www.youtube.com/channel/UCGwu0nbY2wSkW8N-cghnLpA,2018-06-08T00:00:00+00:00,20000,4:32,36QMyiRAv-Y,992000,9520000,Jaiden &amp; Boyinaband - Empty (Official Music Video),https://www.youtube.com/watch?v=36QMyiRAv-Y,24385149
KDMR Music,https://www.youtube.com/channel/UCE43v4HY3L82S_vo79PKG1A,Invalid date,0,2:59,XgGO2572WFU,47,15200,How to Promote Your Music Safely in 2021,https://www.youtube.com/watch?v=XgGO2572WFU,304
SY MUSIC ENTERTAINMENT,https://www.youtube.com/channel/UC9nc9Od8gikYi6tdylJzgTQ,2021-01-22T00:00:00+00:00,10,6:19,uLSYKAmNjJI,892,310000,HINDI MAPIPIGILANG DAMDAMIN l SY MUSIC,https://www.youtube.com/watch?v=uLSYKAmNjJI,3787
Harmonize,https://www.youtube.com/channel/UCwIKyl0V5Cb5WRTazrhg-2A,2021-01-20T00:00:00+00:00,1500,0:30,Qv7z9jpjMwk,22000,2240000,Harmonize - Anajikosha (Official Music Video),https://www.youtube.com/watch?v=Qv7z9jpjMwk,490981
8-BitRyan,https://www.youtube.com/channel/UCx8vbgWs666cAS7wsKos5sA,2021-01-21T00:00:00+00:00,118,0:35,8SI1WrJPZCk,19000,2620000,THE MUSIC GAME I'VE NEEDED FOR SO LONG! | Friday Night Funkin',https://www.youtube.com/watch?v=8SI1WrJPZCk,143043
Billie Eilish,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ,Invalid date,17000,0:15,8TsWkuWWXgc,1100000,37900000,"Billie Eilish, ROSALÍA - Lo Vas A Olvidar (Official Music Video)",https://www.youtube.com/watch?v=8TsWkuWWXgc,6559653
DJ Spinall,https://www.youtube.com/channel/UC2L4iduAXug6pJAtqcf-K4g,2021-01-21T00:00:00+00:00,2,0:15,udtsQ3weRz0,1300,163000,"DJ SPINALL, Fireboy DML - Sere (Official Music Video)",https://www.youtube.com/watch?v=udtsQ3weRz0,14828
Juice WRLD,https://www.youtube.com/channel/UC0BletW9phE4xHFM44q4qKA,2020-07-13T00:00:00+00:00,33000,3:22,C5i-UnuUKUI,1800000,7750000,Juice WRLD - Wishing Well (Official Music Video),https://www.youtube.com/watch?v=C5i-UnuUKUI,120898672
SEOUL MUSIC / 서울뮤직,https://www.youtube.com/channel/UCUEbMnl7U4rLoMopD2bqT3Q,2021-01-21T00:00:00+00:00,17,0:30,SF_5LECpUkE,13000,250000,[보이는 스테이션]  TREASURE(트레저) - ALL ROUND K-POP 'SEOUL MUSIC' 2화,https://www.youtube.com/watch?v=SF_5LECpUkE,68096
Maroon 5,https://www.youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw,2018-05-31T00:00:00+00:00,749000,0:15,aJOTlE1K90k,18000000,33000000,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),https://www.youtube.com/watch?v=aJOTlE1K90k,2943564721
Universal Comedy,https://www.youtube.com/channel/UCZIv78thfup6-JB5HxqT3Pg,2021-01-20T00:00:00+00:00,19,0:35,2FsUJIN1Irs,628,280000,Kevin Bridges Doesn't Understand Modern Music | Universal Comedy,https://www.youtube.com/watch?v=2FsUJIN1Irs,37345
Music &amp; Memory,https://www.youtube.com/channel/UCmBELmruUEkfzSmoBFgmn1w,2020-10-23T00:00:00+00:00,282,1:28:51,glTEHjAX78w,2100,0,Greatest Hits Of The 60s - 60s Music Hits Best Songs of The 60s #2,https://www.youtube.com/watch?v=glTEHjAX78w,436494
